Feature ID,Importance Score,Taxonomy
8c0eeb409a2ffc81a4c134359e7e5d97,0.097959184,d__Bacteria
0127c6f484cda454d2812574fb7f25cf,0.096938776,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
465e7a35c2e228ea64404d3a9922c72e,0.091836735,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
32f5ade31fbd193d11e45c15bb45be03,0.081632653,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
406b14b655f9ed8bb8bd4b3466ed3fa7,0.081632653,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
86cd7ae61246ee4c268ef6a4e5f431f0,0.066326531,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
ba6633424139134a8f2ef4cc642a8e5c,0.066326531,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
51054a661a143a4653dbd3035e81d0da,0.040816327,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
49bac318bca7405ce1eab8b0ebd990b6,0.040816327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
b96351358cf52b1b0ed151b99b12888a,0.030612245,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
302c1010e86af4222e028ef253ecb253,0.026530612,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
fe3d6056d0f475b0a6ba53b75050e9f7,0.025510204,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__
fa925de7171a8dc05c7917a1a91e5112,0.020408163,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus;s__
c3c103707e74741be231327497b0319d,0.020408163,d__Eukaryota
419a249e192564b96a26ce475956e958,0.020408163,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
e17781002d561e15e53bb787548d81a6,0.020408163,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Actinobacillus;s__
2a4757fd49d75f58f808c80e897df171,0.020408163,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__
4f3ee99290cebd38caa92e5bb52df556,0.015306122,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
6f53fe6475eb6ffcab3f64a3c6ae3d0b,0.015306122,d__Eukaryota;p__Ascomycota
063d50543055c3e49e26659589517d1e,0.015306122,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
e514111f788c14ae815e70629bafa3ed,0.010204082,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae
746ff9acade13041be3df4b4e5f9044d,0.010204082,d__Bacteria
fe4705ff5090b77505147b7ad3f9d325,0.010204082,d__Bacteria
fe7ca688c24e28cf736b0b9af170d540,0.010204082,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
046bb71a6093dbad56386f7198edd7ca,0.010204082,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7;s__
69b6d6f770fe255fd3d4fb14ba5ebcd8,0.010204082,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Candidatus_Saccharimonas;s__
da3066591428bbf02bfac6df2d1ad33c,0.010204082,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__
71b0536154788153b9650a9a0067ed4c,0.010204082,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella;s__
1af38f9e583a06c3d305ae85e5fad578,0.008163265,d__Bacteria
8980925ffa40871b9e21f69656107c16,0.005102041,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__
f662f77840121b3d51dc129643a2ba23,0.005102041,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
d1da3b77ddb7ba02b5073cd840aed256,0.005102041,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella;s__
e98236535d746bd87266b9b8617b0c5a,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
196a411ddcb9e82dd0e737f225de62b4,0,d__Bacteria
af6c7ded52e3043a891c4a5bc44ade44,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
91f59a94e0b6e21c0ae957d1a2d2103b,0,d__Bacteria
0ba8a03976b187e0535da505cc668bdb,0,d__Bacteria
bcfdf729f5e87850ddce553a2e266772,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
938d0d85dc40e5d6a6c003de796333e8,0,d__Eukaryota
5b3c9a66e37f79b13442ef09e9b3ca98,0,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011;s__
5737cf29a0db6932bf4b4fe20e25222b,0,d__Eukaryota;p__Basidiomycota
13a91bf7a3f80a08a7c6fdfc51c4635e,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
0f49509da0b4f6aaa2f3b629fce7a0f6,0,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Amnipila;s__
1ed3e85da2063a5400b3bfe63054aa26,0,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__
94f030c95c9778966bb01113dcf2e3d9,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
4ead658ffe00448dccdf01bd5a7bd9d9,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__
77a0f3b42cc87d31a6d3e85f0da8e24f,0,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptoanaerobacter;s__
01d56ff00b6cd776dda11bd1dbb8670f,0,d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
965ea980908d59a04718f18e7117ea30,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
b0c33efc99666858507d87dfeabf2dd4,0,d__Bacteria
